fid,X,Y,CITY_NAME,CNTRY_NAME,POP,POP_RANK,max_dtw
"1257","101.484000378898","19.195001933847",Muang Xaignabouri,Laos,"0","0","0.48085"
"1258","102.680235414767","18.0017369986903",Vientiane,Laos,"1246000","2","0.44549"
"1259","102.746997314757","17.8839990159148",Nong Khai,Thailand,"232798","5","0.43135"
"1260","101.735001359407","17.4899969862717",Loei,Thailand,"164180","5","0.43073"
"1261","102.789999401948","17.406998988041",Udon Thani,Thailand,"483057","4","0.41101"
"1262","106.33302936482","20.4503040450439",Thai Binh,Vietnam,"0","0","0.5075"
"1263","105.210999352958","21.8179980239273",Tuyen Quang,Vietnam,"0","0","0.59874"
"1264","104.875002324519","21.7050029683037",Yen Bai,Vietnam,"0","0","0.56767"
"1265","105.863004307692","21.5510040406728",Thai Nguyen,Vietnam,"0","0","0.54654"
"1266","105.427998406042","21.3049980189285",Viet Tri,Vietnam,"0","0","0.57072"
"1267","105.820002385985","21.0300030662423",Hanoi,Vietnam,"4201000","2","0.53419"
"1268","105.33300333898","20.8299960407541",Hoa Binh,Vietnam,"0","0","0.53239"
"1269","105.975000338466","20.2529970509368",Ninh Binh,Vietnam,"0","0","0.50077"
"1270","105.777000298795","19.808999925639",Thanh Hoa,Vietnam,"0","0","0.48132"
"1271","106.757001312536","21.8459970316206",Lang Son,Vietnam,"0","0","0.46457"
"1272","106.191999391549","21.2709959260192",Phu Lang Thuong,Vietnam,"0","0","0.54022"
"1273","106.331004341285","20.9420010076456",Hai Duong,Vietnam,"0","0","0.53717"
"1274","106.679790443346","20.8613520499551",Haiphong,Vietnam,"1280000","2",
"1275","107.133300396785","16.8499980364855",Dong Ha,Vietnam,"0","0","0.45546"
"1276","107.585001282862","16.4629979514244",Hue,Vietnam,"0","0","0.46974"
"1277","108.215001379001","16.0520040596696",Da Nang,Vietnam,"1140000","2",
"1278","108.811998407081","15.1239960257986",Quang Ngai,Vietnam,"0","0","0.40444"
"1279","108.015003289631","14.34999602116",Kon Tum,Vietnam,"0","0","0.47423"
"1280","108.016668386208","13.9500000079022",Play Cu,Vietnam,"0","0","0.50666"
"1281","109.233324436572","13.7666609930048",Qui Nhon,Vietnam,"0","0",
"1282","106.981002310202","13.5070020729377",Lumphat,Cambodia,"0","0","0.41626"
"1283","109.315998417798","13.0820039610522",Tuy Hoa,Vietnam,"0","0","0.44274"
"1284","108.05000440739","12.6666629790578",Buon Me Thuot,Vietnam,"0","0","0.47866"
"1285","107.199999412984","12.4499970445799",Senmonorom,Cambodia,"0","0","0.40602"
"1286","109.203003362174","12.2429970106276",Nha Trang,Vietnam,"0","0",
"1287","108.441999285732","11.9449980090128",Da Lat,Vietnam,"0","0","0.5504"
"1288","103.466700310541","4.24999793403099",Kemaman Harbor,Malaysia,"0","0","0.40443"
"1289","103.333302443625","3.79999805448471",Kuantan New Port,Malaysia,"418219","4","0.42021"
"1290","108.104004373077","10.9209960487146",Phan Thiet,Vietnam,"0","0",
"1291","103.1409993444","5.32500295095138",Kuala Terengganu,Malaysia,"246266","5","0.44959"
"1292","102.042000355303","4.18400106499672",Kuala Lipis,Malaysia,"0","0","0.40153"
"1293","101.708001376563","3.14999992008404",Kuala Lumpur,Malaysia,"1839451","2","0.41474"
"1294","101.549997413416","3.06669594256771",Shah Alam,Malaysia,"195049","5","0.4262"
"1295","110.343996312011","1.54899896996869",Kuching,Malaysia,"157668","5","0.39238"
"1296","101.950002362791","2.70800100996921",Seremban,Malaysia,"385935","4","0.46568"
"1297","102.255003308988","2.19999596373542",Melaka,Malaysia,"0","0","0.49793"
"1298","103.760001396558","1.50000306464715",Johor Baharu,Malaysia,"518627","3","0.49034"
